soma,occurrences,pct
133,1,0.000271
141,2,0.000542
144,1,0.000271
146,1,0.000271
147,2,0.000542
148,3,0.000814
149,2,0.000542
150,7,0.001899
151,2,0.000542
152,1,0.000271
153,5,0.001356
154,4,0.001085
155,9,0.002441
156,9,0.002441
157,8,0.00217
158,9,0.002441
159,9,0.002441
160,10,0.002712
161,19,0.005153
162,21,0.005696
163,15,0.004068
164,20,0.005424
165,19,0.005153
166,28,0.007594
167,19,0.005153
168,27,0.007323
169,23,0.006238
170,30,0.008137
171,31,0.008408
172,47,0.012747
173,44,0.011934
174,35,0.009493
175,54,0.014646
176,39,0.010578
177,46,0.012476
178,44,0.011934
179,60,0.016273
180,58,0.015731
181,65,0.01763
182,58,0.015731
183,75,0.020342
184,84,0.022783
185,72,0.019528
186,79,0.021427
187,80,0.021698
188,72,0.019528
189,82,0.02224
190,74,0.020071
191,75,0.020342
192,101,0.027394
193,71,0.019257
194,66,0.017901
195,84,0.022783
196,87,0.023596
197,66,0.017901
198,70,0.018986
199,90,0.02441
200,50,0.013561
201,73,0.019799
202,62,0.016816
203,82,0.02224
204,69,0.018714
205,54,0.014646
206,61,0.016545
207,56,0.015189
208,82,0.02224
209,61,0.016545
210,48,0.013019
211,44,0.011934
212,88,0.023868
213,55,0.014917
214,50,0.013561
215,46,0.012476
216,42,0.011391
217,43,0.011663
218,44,0.011934
219,38,0.010306
220,36,0.009764
221,28,0.007594
222,36,0.009764
223,22,0.005967
224,21,0.005696
225,21,0.005696
226,24,0.006509
227,21,0.005696
228,18,0.004882
229,8,0.00217
230,12,0.003255
231,10,0.002712
232,6,0.001627
233,8,0.00217
234,9,0.002441
235,7,0.001899
236,8,0.00217
237,3,0.000814
238,1,0.000271
239,6,0.001627
240,4,0.001085
241,3,0.000814
242,1,0.000271
243,3,0.000814
244,1,0.000271
245,3,0.000814
246,1,0.000271
247,1,0.000271
249,1,0.000271
257,1,0.000271
