dezena,appearances,avg_gap_concursos,median_gap_concursos,max_gap_concursos,current_gap_concursos
1,2235,1.649,1.0,8,1
2,2211,1.667,1.0,9,1
3,2219,1.662,1.0,9,0
4,2233,1.651,1.0,8,0
5,2211,1.668,1.0,10,0
6,2167,1.702,1.0,11,0
7,2179,1.69,1.0,11,4
8,2137,1.724,1.0,11,1
9,2197,1.678,1.0,9,1
10,2299,1.604,1.0,9,1
11,2270,1.624,1,9,2
12,2217,1.663,1.0,10,0
13,2244,1.643,1,8,0
14,2227,1.656,1.0,12,0
15,2201,1.675,1.0,10,1
16,2109,1.749,1.0,10,0
17,2165,1.702,1.0,11,0
18,2194,1.681,1,9,0
19,2198,1.677,1,13,1
20,2306,1.599,1,9,0
21,2190,1.682,1,11,0
22,2205,1.667,1.0,8,5
23,2162,1.706,1,8,0
24,2240,1.646,1,9,0
25,2289,1.611,1.0,12,0
